TIMESTAMP,ContextTokens,GeneratedTokens
2023-11-16 18:16:00.9738990,4085,62
2023-11-16 18:16:06.6257870,4081,74
2023-11-16 18:16:11.9304300,4073,58
2023-11-16 18:16:16.3666680,4074,50
2023-11-16 18:16:25.0732320,4094,82
2023-11-16 18:16:25.7725050,4088,37
2023-11-16 18:16:32.7829110,4079,27
2023-11-16 18:16:33.3587340,4107,49
2023-11-16 18:16:34.7261190,4076,60
2023-11-16 18:16:44.4613430,4082,44
2023-11-16 18:16:51.6213800,4074,40
2023-11-16 18:16:59.8200270,4081,38
2023-11-16 18:17:17.9894550,4083,44
2023-11-16 18:17:18.9701430,4088,41
2023-11-16 18:17:21.6721570,4085,52
2023-11-16 18:17:31.2401180,4078,49
2023-11-16 18:17:32.7925140,4083,38
2023-11-16 18:17:45.0778770,4077,81
2023-11-16 18:17:46.0234340,4075,91
2023-11-16 18:17:46.1402350,4105,67
2023-11-16 18:17:47.5484570,4082,104
2023-11-16 18:17:54.5548400,4085,59
2023-11-16 18:17:54.5711160,4090,56
2023-11-16 18:18:01.0522490,4083,67
2023-11-16 18:18:02.0813090,4078,46
2023-11-16 18:18:05.2565930,4086,64
2023-11-16 18:18:10.0873350,4093,91
2023-11-16 18:18:13.7206960,4101,58
2023-11-16 18:18:14.9582190,4080,74
2023-11-16 18:18:17.5874790,4082,50
2023-11-16 18:18:24.1511450,4084,34
2023-11-16 18:18:24.3488640,4091,40
2023-11-16 18:18:24.6807160,4076,38
2023-11-16 18:18:27.7341810,4099,55
2023-11-16 18:18:28.3826180,4074,50
2023-11-16 18:18:29.4372930,4076,51
2023-11-16 18:18:31.2597480,4088,67
2023-11-16 18:18:31.5319360,4086,37
2023-11-16 18:18:32.9188810,4090,45
2023-11-16 18:18:34.4744130,4089,67
2023-11-16 18:18:35.4522050,4083,62
2023-11-16 18:18:36.3352620,4088,107
2023-11-16 18:18:36.5610440,4073,29
2023-11-16 18:18:36.9009410,3067,101
2023-11-16 18:18:42.8044870,4075,63
2023-11-16 18:18:44.0156230,4082,210
2023-11-16 18:18:45.4495910,4074,67
2023-11-16 18:18:46.2380980,4096,45
2023-11-16 18:18:47.3050460,4080,35
2023-11-16 18:18:48.8193570,4076,92
2023-11-16 18:18:50.4570040,4075,52
